filename,width,height,class,xmin,ymin,xmax,ymax
127226.jpeg,500,800,dress,86,1,383,800
231278.jpeg,500,800,footwear,6,8,500,780
234686.jpeg,500,800,footwear,1,10,492,800
186122.jpeg,500,800,dress,137,73,361,734
274519.jpeg,500,800,footwear,12,35,497,742
160483.jpeg,500,800,footwear,50,36,453,758
186034.jpeg,500,800,footwear,21,230,480,551
33746.jpeg,500,800,footwear,22,169,489,741
311848.jpeg,500,800,dress,187,114,308,503
286862.jpeg,500,800,dress,191,131,340,548
174470.jpeg,500,800,footwear,43,150,484,645
195954.jpeg,500,800,footwear,38,208,500,565
65726.jpeg,500,800,footwear,8,188,499,743
278694.jpeg,500,800,footwear,13,224,500,576
274521.jpeg,500,800,footwear,6,57,500,719
33748.jpeg,500,800,footwear,12,589,500,781
208914.jpeg,500,800,dress,127,132,340,656
65728.jpeg,500,800,footwear,95,151,422,757
142872.jpeg,500,800,dress,124,116,315,500
301279.jpeg,500,800,dress,179,132,347,585
196863.jpeg,500,800,footwear,163,171,342,651
204360.jpeg,500,800,dress,142,206,426,656
33749.jpeg,500,800,footwear,59,432,421,777
309356.jpeg,500,800,dress,92,151,345,739
65729.jpeg,500,800,footwear,132,32,380,743
204354.jpeg,500,800,dress,185,152,323,472
232360.jpeg,500,800,footwear,19,187,499,569
82646.jpeg,500,800,footwear,126,59,385,751
196864.jpeg,500,800,footwear,3,147,500,662
186719.jpeg,500,800,footwear,121,125,371,658
237161.jpeg,500,800,footwear,15,19,492,793
64044.jpeg,500,800,footwear,73,190,419,713
195416.jpeg,500,800,dress,163,135,340,380
298221.jpeg,500,800,footwear,145,47,349,746
272703.jpeg,500,800,footwear,8,158,500,647
99583.jpeg,500,800,footwear,50,50,469,741
199362.jpeg,500,800,footwear,65,41,410,755
133047.jpeg,500,800,dress,118,157,419,755
251415.jpeg,500,800,footwear,7,9,479,790
79750.jpeg,500,800,footwear,168,15,328,741
199743.jpeg,500,800,footwear,89,39,402,753
297179.jpeg,500,800,footwear,152,146,376,668
353311.jpeg,500,800,footwear,50,3,459,773
204355.jpeg,500,800,dress,66,200,368,753
297271.jpeg,500,800,footwear,6,288,497,658
226757.jpeg,500,800,footwear,2,32,498,800
158921.jpeg,500,800,footwear,124,34,400,790
204365.jpeg,500,800,dress,11,182,500,798
265031.jpeg,500,800,footwear,57,37,439,758
195415.jpeg,500,800,dress,166,131,340,571
195427.jpeg,500,800,dress,160,127,344,537
79751.jpeg,500,800,footwear,152,30,336,750
296119.jpeg,500,800,footwear,19,309,495,783
221602.jpeg,500,800,footwear,12,20,482,772
215708.jpeg,500,800,footwear,8,9,500,788
